@relation ps001_c8_a16_t_10-11
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute ALK real
@attribute AROMA real 
@attribute AR_BNZ real
@attribute AR_KS real
@attribute AR_TL real
@attribute MOX real 
@attribute MMETANOL real 
@attribute METANOL real 
@attribute MMTBE  real 
@attribute METBE real 
@attribute MTAME real 
@attribute MDIPE  real 
@attribute MTBS real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
94.60, 84.30, 20.20, 50.00, 27.10, 1.21, 4.80, 3.90, 0.48, 0.00, 0.00, 2.20, 0.20, 0.00, 0.00, 2.00, 201 
91.80, 84.20, 11.30, 54.30, 32.20, 0.58, 8.50, 5.80, 0.36, 0.00, 0.00, 0.40, 0.00, 0.80, 1.00, 0.00, 201 
93.60, 84.00, 13.70, 55.40, 30.60, 0.92, 5.40, 4.80, 0.13, 0.00, 0.00, 0.30, 0.40, 0.00, 0.00, 2.00, 201 
94.00, 84.50, 13.70, 56.00, 28.70, 0.89, 6.20, 5.20, 0.31, 0.00, 0.00, 1.30, 0.00, 0.00, 0.00, 3.00, 201 
92.60, 84.10, 10.40, 57.20, 30.00, 0.75, 5.70, 4.70, 0.43, 0.00, 0.00, 2.00, 0.00, 0.00, 0.40, 0.00, 201 
90.70, 84.50, 12.00, 57.70, 27.60, 0.65, 7.00, 4.80, 0.40, 0.00, 0.00, 0.80, 0.00, 0.70, 0.90, 0.00, 201 
92.20, 83.60, 13.20, 53.00, 31.30, 0.39, 7.80, 5.20, 0.41, 0.00, 0.00, 0.70, 0.00, 0.80, 1.00, 0.00, 201 
91.80, 83.90, 13.30, 54.10, 30.10, 0.45, 7.60, 4.80, 0.42, 0.00, 0.00, 0.90, 0.00, 0.70, 0.90, 0.00, 201 
91.70, 83.70, 14.00, 53.20, 30.60, 0.43, 7.70, 4.80, 0.36, 0.00, 0.00, 0.40, 0.00, 0.80, 1.00, 0.00, 201 
91.60, 83.90, 14.30, 54.00, 28.20, 0.53, 6.90, 4.60, 0.60, 0.00, 0.00, 1.70, 0.00, 0.90, 0.90, 0.00, 201 
92.70, 84.00, 16.90, 53.80, 27.10, 0.48, 5.70, 3.90, 0.38, 0.00, 0.00, 0.60, 0.00, 0.60, 1.10, 0.00, 201 
