@relation ps_c8_a_13_t_11-12
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute AROMA real 
@attribute AR_BNZ real
@attribute MOX real 
@attribute MMETANOL real 
@attribute METANOL real 
@attribute MMTBE  real 
@attribute METBE real 
@attribute MTAME real 
@attribute MDIPE  real 
@attribute MTBS real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
92.50, 83.70, 17.30, 27.10, 0.42, 0.24, 0.00, 0.00, 0.00, 0.00, 0.50, 1.00, 0.00, 201 
94.60, 84.30, 20.20, 27.10, 1.21, 0.48, 0.00, 0.00, 2.20, 0.20, 0.00, 0.00, 2.00, 201 
91.80, 84.20, 11.30, 32.20, 0.58, 0.36, 0.00, 0.00, 0.40, 0.00, 0.80, 1.00, 0.00, 201 
93.60, 84.00, 13.70, 30.60, 0.92, 0.13, 0.00, 0.00, 0.30, 0.40, 0.00, 0.00, 2.00, 201 
94.00, 84.50, 13.70, 28.70, 0.89, 0.31, 0.00, 0.00, 1.30, 0.00, 0.00, 0.00, 3.00, 201 
92.60, 84.10, 10.40, 30.00, 0.75, 0.43, 0.00, 0.00, 2.00, 0.00, 0.00, 0.40, 0.00, 201 
90.70, 84.50, 12.00, 27.60, 0.65, 0.40, 0.00, 0.00, 0.80, 0.00, 0.70, 0.90, 0.00, 201 
92.20, 83.60, 13.20, 31.30, 0.39, 0.41, 0.00, 0.00, 0.70, 0.00, 0.80, 1.00, 0.00, 201 
91.80, 83.90, 13.30, 30.10, 0.45, 0.42, 0.00, 0.00, 0.90, 0.00, 0.70, 0.90, 0.00, 201 
91.70, 83.70, 14.00, 30.60, 0.43, 0.36, 0.00, 0.00, 0.40, 0.00, 0.80, 1.00, 0.00, 201 
91.60, 83.90, 14.30, 28.20, 0.53, 0.60, 0.00, 0.00, 1.70, 0.00, 0.90, 0.90, 0.00, 201 
92.70, 84.00, 16.90, 27.10, 0.48, 0.38, 0.00, 0.00, 0.60, 0.00, 0.60, 1.10, 0.00, 201 
92.90, 84.10, 16.90, 27.00, 0.47, 0.25, 0.00, 0.00, 0.00, 0.00, 0.50, 1.10, 0.00, 201 
94.40, 84.50, 17.70, 27.80, 0.92, 0.21, 0.00, 0.00, 0.90, 0.00, 0.00, 0.00, 2.00, 201 
92.50, 83.60, 10.40, 29.90, 0.68, 0.51, 0.00, 0.00, 2.30, 0.40, 0.00, 0.20, 0.00, 201 
92.80, 84.00, 10.90, 30.30, 0.75, 0.43, 0.00, 0.00, 2.00, 0.20, 0.00, 0.40, 0.00, 201 
93.80, 84.80, 11.70, 31.20, 1.01, 0.16, 0.00, 0.00, 0.60, 0.00, 0.00, 0.60, 0.00, 201 
93.00, 83.90, 16.30, 26.80, 0.46, 0.28, 0.00, 0.00, 0.50, 0.00, 0.50, 0.90, 0.00, 201 
92.00, 83.60, 16.80, 26.80, 0.40, 0.24, 0.00, 0.00, 0.00, 0.00, 0.50, 1.00, 0.00, 201 
92.70, 83.60, 16.80, 29.40, 0.45, 0.27, 0.00, 0.00, 0.00, 0.00, 0.70, 1.00, 0.00, 201 
92.70, 83.80, 17.00, 27.70, 0.44, 0.22, 0.00, 0.00, 0.00, 0.00, 0.40, 1.00, 0.00, 201 
93.20, 84.00, 10.70, 31.40, 0.94, 0.05, 0.00, 0.00, 0.30, 0.00, 0.00, 0.20, 0.00, 201 
94.10, 85.20, 11.20, 31.40, 0.96, 0.23, 0.00, 0.00, 1.00, 0.00, 0.00, 0.30, 0.00, 201 
92.70, 83.80, 11.20, 30.90, 0.90, 0.29, 0.00, 0.00, 1.10, 0.40, 0.00, 0.20, 0.00, 201 
92.70, 84.40, 11.70, 30.70, 0.91, 0.21, 0.00, 0.00, 0.90, 0.00, 0.00, 0.30, 0.00, 201 
92.40, 84.10, 12.00, 28.40, 0.75, 0.52, 0.00, 0.00, 2.60, 0.00, 0.00, 0.30, 0.00, 201 
93.00, 84.10, 12.30, 28.40, 0.68, 0.63, 0.00, 0.00, 3.10, 0.00, 0.00, 0.40, 0.00, 201 
93.40, 84.60, 12.40, 30.10, 1.00, 0.13, 0.00, 0.00, 0.40, 0.00, 0.00, 0.40, 0.00, 201 
93.10, 84.20, 12.70, 27.90, 0.65, 0.72, 0.00, 0.00, 3.60, 0.00, 0.00, 0.40, 0.00, 201 
92.60, 84.30, 11.50, 30.50, 0.90, 0.20, 0.00, 0.00, 0.90, 0.00, 0.00, 0.20, 0.00, 201 
93.40, 84.40, 11.80, 30.50, 0.97, 0.09, 0.00, 0.00, 0.30, 0.00, 0.00, 0.20, 0.00, 201 
92.70, 84.10, 12.00, 28.70, 0.73, 0.54, 0.00, 0.00, 2.70, 0.00, 0.00, 0.20, 0.00, 201 
92.70, 84.20, 12.20, 28.50, 0.74, 0.56, 0.00, 0.00, 2.80, 0.00, 0.00, 0.30, 0.00, 201 
93.00, 84.40, 12.30, 30.50, 0.93, 0.12, 0.00, 0.00, 0.50, 0.00, 0.00, 0.20, 0.00, 201 
93.50, 84.60, 12.30, 30.20, 0.96, 0.14, 0.00, 0.00, 0.50, 0.00, 0.00, 0.30, 0.00, 201 
93.30, 84.30, 13.40, 29.10, 0.86, 0.37, 0.00, 0.00, 1.80, 0.00, 0.00, 0.30, 0.00, 201 
92.50, 83.60, 9.40, 31.20, 0.69, 0.37, 0.00, 0.00, 1.60, 0.50, 0.00, 0.00, 0.00, 201 
92.10, 83.90, 9.60, 30.80, 0.70, 0.49, 0.00, 0.00, 2.50, 0.00, 0.20, 0.00, 0.00, 201 
92.50, 83.90, 10.30, 32.20, 0.90, 0.09, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 201 
92.00, 83.80, 13.00, 28.00, 0.84, 0.18, 0.00, 0.00, 0.80, 0.00, 0.00, 0.20, 0.00, 201 
93.80, 84.50, 13.40, 30.10, 0.98, 0.12, 0.00, 0.00, 0.50, 0.00, 0.00, 0.20, 0.00, 201 
92.70, 84.20, 13.60, 28.00, 0.88, 0.30, 0.00, 0.00, 1.50, 0.00, 0.00, 0.20, 0.00, 201 
93.60, 84.50, 10.90, 31.50, 0.97, 0.05, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 201 
92.30, 83.60, 10.90, 29.30, 0.71, 0.44, 0.00, 0.00, 2.40, 0.00, 0.00, 0.00, 0.00, 201 
