@relation ps_c8_a_15_t_all
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute AROMA real 
@attribute AR_BNZ real
@attribute MMTBE  real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
92.50, 83.70, 17.30, 27.10, 0.42, 0.00, 201 
94.60, 84.30, 20.20, 27.10, 1.21, 2.20, 201 
91.80, 84.20, 11.30, 32.20, 0.58, 0.40, 201 
93.60, 84.00, 13.70, 30.60, 0.92, 0.30, 201 
94.00, 84.50, 13.70, 28.70, 0.89, 1.30, 201 
92.60, 84.10, 10.40, 30.00, 0.75, 2.00, 201 
90.70, 84.50, 12.00, 27.60, 0.65, 0.80, 201 
92.20, 83.60, 13.20, 31.30, 0.39, 0.70, 201 
91.80, 83.90, 13.30, 30.10, 0.45, 0.90, 201 
91.70, 83.70, 14.00, 30.60, 0.43, 0.40, 201 
91.60, 83.90, 14.30, 28.20, 0.53, 1.70, 201 
92.70, 84.00, 16.90, 27.10, 0.48, 0.60, 201 
92.90, 84.10, 16.90, 27.00, 0.47, 0.00, 201 
94.40, 84.50, 17.70, 27.80, 0.92, 0.90, 201 
92.50, 83.60, 10.40, 29.90, 0.68, 2.30, 201 
92.80, 84.00, 10.90, 30.30, 0.75, 2.00, 201 
93.80, 84.80, 11.70, 31.20, 1.01, 0.60, 201 
93.00, 83.90, 16.30, 26.80, 0.46, 0.50, 201 
92.00, 83.60, 16.80, 26.80, 0.40, 0.00, 201 
92.70, 83.60, 16.80, 29.40, 0.45, 0.00, 201 
92.70, 83.80, 17.00, 27.70, 0.44, 0.00, 201 
93.20, 84.00, 10.70, 31.40, 0.94, 0.30, 201 
94.10, 85.20, 11.20, 31.40, 0.96, 1.00, 201 
92.70, 83.80, 11.20, 30.90, 0.90, 1.10, 201 
92.70, 84.40, 11.70, 30.70, 0.91, 0.90, 201 
92.40, 84.10, 12.00, 28.40, 0.75, 2.60, 201 
93.00, 84.10, 12.30, 28.40, 0.68, 3.10, 201 
93.40, 84.60, 12.40, 30.10, 1.00, 0.40, 201 
93.10, 84.20, 12.70, 27.90, 0.65, 3.60, 201 
92.60, 84.30, 11.50, 30.50, 0.90, 0.90, 201 
93.40, 84.40, 11.80, 30.50, 0.97, 0.30, 201 
92.70, 84.10, 12.00, 28.70, 0.73, 2.70, 201 
92.70, 84.20, 12.20, 28.50, 0.74, 2.80, 201 
93.00, 84.40, 12.30, 30.50, 0.93, 0.50, 201 
93.50, 84.60, 12.30, 30.20, 0.96, 0.50, 201 
93.30, 84.30, 13.40, 29.10, 0.86, 1.80, 201 
92.50, 83.60, 9.40, 31.20, 0.69, 1.60, 201 
92.10, 83.90, 9.60, 30.80, 0.70, 2.50, 201 
92.50, 83.90, 10.30, 32.20, 0.90, 0.00, 201 
92.00, 83.80, 13.00, 28.00, 0.84, 0.80, 201 
93.80, 84.50, 13.40, 30.10, 0.98, 0.50, 201 
92.70, 84.20, 13.60, 28.00, 0.88, 1.50, 201 
93.60, 84.50, 10.90, 31.50, 0.97, 0.00, 201 
92.30, 83.60, 10.90, 29.30, 0.71, 2.40, 201 
93.60, 84.30, 11.80, 30.80, 0.89, 0.30, 201 
93.50, 84.70, 12.20, 31.20, 0.99, 0.80, 201 
93.70, 84.60, 14.20, 30.30, 0.89, 0.20, 201 
93.90, 83.70, 15.10, 29.70, 0.80, 0.50, 201 
94.00, 84.60, 15.40, 28.80, 0.97, 0.70, 201 
91.90, 84.00, 9.40, 32.10, 0.89, 0.80, 201 
92.60, 84.10, 9.90, 33.60, 0.91, 0.50, 201 
92.80, 84.40, 11.30, 31.10, 0.94, 0.50, 201 
92.00, 83.60, 11.90, 29.80, 0.84, 0.70, 201 
94.20, 84.40, 13.50, 32.00, 0.96, 0.60, 201 
94.20, 84.50, 13.80, 31.40, 0.97, 0.80, 201 
94.20, 84.50, 14.20, 31.40, 0.97, 0.80, 201 
93.20, 84.20, 12.30, 31.30, 0.85, 0.30, 201 
93.50, 84.60, 13.10, 30.60, 0.88, 0.50, 201 
93.80, 84.40, 13.20, 30.20, 0.89, 0.40, 201 
93.90, 84.50, 14.30, 29.80, 0.96, 0.60, 201 
94.30, 84.50, 14.50, 31.10, 0.96, 0.70, 201 
94.40, 84.60, 15.00, 30.60, 0.97, 0.80, 201 
96.80, 87.10, 10.10, 31.70, 0.93, 5.10, 302 
92.90, 84.20, 11.00, 29.60, 0.80, 2.20, 302 
96.00, 86.30, 10.90, 33.30, 0.96, 4.90, 302 
96.00, 86.30, 10.90, 33.30, 0.96, 4.90, 302 
96.10, 86.40, 11.20, 32.20, 0.97, 5.10, 302 
93.30, 83.80, 1.50, 35.50, 0.14, 0.40, 202 
93.30, 83.60, 10.10, 35.30, 0.09, 0.30, 202 
93.10, 83.70, 10.70, 35.70, 0.08, 0.40, 202 
92.80, 85.10, 3.00, 42.00, 0.32, 0.00, 202 
94.20, 85.70, 0.40, 4.70, 0.13, 0.20, 202 
94.80, 85.40, 13.30, 33.70, 0.05, 0.00, 202 
93.90, 83.80, 13.60, 34.10, 0.14, 0.20, 202 
95.60, 84.90, 8.80, 35.70, 0.61, 4.50, 301 
95.60, 84.30, 10.80, 35.60, 0.67, 6.10, 301 
97.60, 86.60, 11.60, 34.60, 0.78, 5.60, 301 
96.20, 85.70, 12.10, 33.50, 0.85, 6.00, 301 
96.30, 85.40, 13.00, 33.60, 0.71, 6.20, 301 
96.10, 85.50, 13.60, 33.10, 0.72, 6.70, 301 
94.80, 84.90, 8.10, 33.30, 0.49, 8.70, 301 
94.30, 85.30, 9.20, 25.40, 0.30, 15.30, 301 
94.60, 84.60, 9.50, 26.20, 0.27, 15.50, 301 
94.60, 85.50, 9.90, 23.60, 0.47, 16.30, 301 
94.50, 86.50, 10.00, 24.50, 0.27, 16.10, 301 
93.20, 84.70, 10.70, 22.20, 0.21, 15.40, 301 
94.40, 84.80, 10.90, 25.00, 0.30, 15.50, 301 
96.50, 85.90, 13.70, 29.40, 0.71, 10.60, 301 
96.40, 85.80, 13.90, 27.80, 0.62, 11.60, 301 
97.00, 85.00, 14.10, 33.80, 0.76, 7.80, 301 
96.10, 84.80, 14.30, 31.10, 0.61, 6.30, 301 
96.40, 85.80, 14.30, 28.60, 0.65, 10.90, 301 
96.30, 85.60, 14.60, 33.90, 0.71, 8.30, 301 
94.30, 85.40, 8.40, 23.90, 0.32, 15.20, 301 
97.50, 85.30, 10.00, 25.10, 0.29, 15.90, 301 
94.70, 85.10, 10.10, 25.60, 0.34, 15.30, 301 
